"AnswerId","JobName","Worker","Status","WorkDurationInSeconds","TaskReservedTime","TaskStartedTime","AnswerSubmittedTime","AnswerAcceptedTime","AnswerRejectedTime","ScheduledAutoApprovalTime","ScheduledAutoRejectionTime","Answer.1:fileId","Answer.2:selections","Answer.3:selections","Answer.4:selections","Answer.5:freetext"
"DF62CE2D89C0CE8","Sympathie_2016-11-02T12:28:51.716Z","A503C2FBCC","AUTOMATICALLY_ACCEPTED","70","2016.12.06 17:08:04 +0000","2016.12.06 17:08:11 +0000","2016.12.06 17:09:22 +0000","2016.12.06 17:09:22 +0000","","2016.12.06 17:09:22 +0000","2016.12.06 17:09:22 +0000","https://api.crowdee.de/v1/files/80f19930e027beb5157c10dd8c407a85","1","4","0","44"
"1991CB1205EC42B","Sympathie_2016-11-02T12:28:51.716Z","E50DE85FCE","AUTOMATICALLY_ACCEPTED","61","2016.12.06 18:10:22 +0000","2016.12.06 18:10:33 +0000","2016.12.06 18:11:34 +0000","2016.12.06 18:11:34 +0000","","2016.12.06 18:11:34 +0000","2016.12.06 18:11:34 +0000","https://api.crowdee.de/v1/files/c983f9b57a11f5e9c9126326350dcd7c","1","4","0","39"
"0C391854E5B8237","Sympathie_2016-11-02T12:28:51.716Z","34A56148A0","AUTOMATICALLY_ACCEPTED","146","2016.12.06 21:19:46 +0000","2016.12.06 21:19:46 +0000","2016.12.06 21:22:12 +0000","2016.12.06 21:22:12 +0000","","2016.12.06 21:22:12 +0000","2016.12.06 21:22:12 +0000","https://api.crowdee.de/v1/files/20fc793df4cf40082bc6db40fa5bbe30","1","4","1","28"
"CA7F5E6E8EFF550","Sympathie_2016-11-02T12:28:51.716Z","1BDB099C82","AUTOMATICALLY_ACCEPTED","226","2016.12.07 02:13:53 +0000","2016.12.07 02:13:53 +0000","2016.12.07 02:17:40 +0000","2016.12.07 02:17:40 +0000","","2016.12.07 02:17:40 +0000","2016.12.07 02:17:40 +0000","https://api.crowdee.de/v1/files/2f2bd2ed971c21851b1046b7ee728ab5","1","4","1","41"
"222DCE0F1E639ED","Sympathie_2016-11-02T12:28:51.716Z","D7D5201848","AUTOMATICALLY_ACCEPTED","87","2016.12.07 14:31:31 +0000","2016.12.07 14:31:32 +0000","2016.12.07 14:32:59 +0000","2016.12.07 14:32:59 +0000","","2016.12.07 14:32:59 +0000","2016.12.07 14:32:59 +0000","https://api.crowdee.de/v1/files/eea8e962a2cab39d5a0297689b473c97","1","4","1","29"
"6A49E9A5211D929","Sympathie_2016-11-02T12:28:51.716Z","6320E1F843","AUTOMATICALLY_ACCEPTED","60","2016.12.08 03:15:04 +0000","2016.12.08 03:15:04 +0000","2016.12.08 03:16:05 +0000","2016.12.08 03:16:05 +0000","","2016.12.08 03:16:05 +0000","2016.12.08 03:16:05 +0000","https://api.crowdee.de/v1/files/7984e572bb8ce0c39ab8b46880495435","1","4","1","26"
"44E71EF4552CD03","Sympathie_2016-11-02T12:28:51.716Z","8C6A298C54","AUTOMATICALLY_ACCEPTED","44","2016.12.08 03:23:00 +0000","2016.12.08 03:23:01 +0000","2016.12.08 03:23:45 +0000","2016.12.08 03:23:45 +0000","","2016.12.08 03:23:45 +0000","2016.12.08 03:23:45 +0000","https://api.crowdee.de/v1/files/1056c3bab771a6c974cd6ef96958e3e3","1","4","1","26"
"8E6160EB00584DD","Sympathie_2016-11-02T12:28:51.716Z","8B255743C2","AUTOMATICALLY_ACCEPTED","104","2016.12.08 11:47:42 +0000","2016.12.08 11:47:43 +0000","2016.12.08 11:49:27 +0000","2016.12.08 11:49:27 +0000","","2016.12.08 11:49:27 +0000","2016.12.08 11:49:27 +0000","https://api.crowdee.de/v1/files/28d4f2c6883da37c856c086bd328a0fc","1","4","1","36"
"EEC6BCB3245FC29","Sympathie_2016-11-02T12:28:51.716Z","E8B5804712","AUTOMATICALLY_ACCEPTED","87","2016.12.08 19:04:09 +0000","2016.12.08 19:04:09 +0000","2016.12.08 19:05:37 +0000","2016.12.08 19:05:37 +0000","","2016.12.08 19:05:37 +0000","2016.12.08 19:05:37 +0000","https://api.crowdee.de/v1/files/fb3d22103b6c7f6baf1399f393ce2828","1","4","0","21"
"F61EE4A5695AA5A","Sympathie_2016-11-02T12:28:51.716Z","64FC5F681E","AUTOMATICALLY_ACCEPTED","100","2016.12.08 20:04:45 +0000","2016.12.08 20:04:45 +0000","2016.12.08 20:06:26 +0000","2016.12.08 20:06:26 +0000","","2016.12.08 20:06:26 +0000","2016.12.08 20:06:26 +0000","https://api.crowdee.de/v1/files/cfc30f1f7587023e5aef5bfa5caa1900","1","4","0","23"
"BA176E891E7B7DC","Sympathie_2016-11-02T12:28:51.716Z","415FDB351C","AUTOMATICALLY_ACCEPTED","110","2016.12.09 10:31:58 +0000","2016.12.09 10:32:00 +0000","2016.12.09 10:33:50 +0000","2016.12.09 10:33:50 +0000","","2016.12.09 10:33:50 +0000","2016.12.09 10:33:50 +0000","https://api.crowdee.de/v1/files/9af1902ffdeae6fac56cf3ac906b8ee9","1","4","1","20"
"05171C365FCCB2D","Sympathie_2016-11-02T12:28:51.716Z","53496BE3CD","AUTOMATICALLY_ACCEPTED","78","2016.12.09 14:19:30 +0000","2016.12.09 14:19:30 +0000","2016.12.09 14:20:49 +0000","2016.12.09 14:20:49 +0000","","2016.12.09 14:20:49 +0000","2016.12.09 14:20:49 +0000","https://api.crowdee.de/v1/files/d872df040d39d2649a37d2b9e8880e6a","1","4","0","43"
