"AnswerId","JobName","Worker","Status","WorkDurationInSeconds","TaskReservedTime","TaskStartedTime","AnswerSubmittedTime","AnswerAcceptedTime","AnswerRejectedTime","ScheduledAutoApprovalTime","ScheduledAutoRejectionTime","Answer.1:fileId","Answer.2:selections","Answer.3:selections","Answer.4:selections","Answer.4:freetext","Answer.5:selections","Answer.5:freetext","Answer.6:selections","Answer.6:freetext","Answer.7:freetext"
"9DB39EF6A60E382","Sympathie_2016-07-20T09:32:23.991Z","2D7240C33A","AUTOMATICALLY_ACCEPTED","158","2016.09.01 12:19:19 +0000","2016.09.01 12:19:23 +0000","2016.09.01 12:22:01 +0000","2016.09.01 12:22:01 +0000","","2016.09.01 12:22:01 +0000","1970.01.01 00:00:00 +0000","https://api.crowdee.de/v1/files/f17674be5ffe6d4a53618d6b5d16171d","4","0","1","glockenspiel","2","","0","","26"
"4C62ACF50247AF3","Sympathie_2016-07-20T09:32:23.991Z","13B72EB3B9","AUTOMATICALLY_ACCEPTED","141","2016.09.01 12:48:11 +0000","2016.09.01 12:48:12 +0000","2016.09.01 12:50:33 +0000","2016.09.01 12:50:33 +0000","","2016.09.01 12:50:33 +0000","1970.01.01 00:00:00 +0000","https://api.crowdee.de/v1/files/d396a234ab92bf1189c538604b2013b3","4","0","9","","4","","6","","57"
"B0B715B809262D2","Sympathie_2016-07-20T09:32:23.991Z","38430BD069","AUTOMATICALLY_ACCEPTED","216","2016.09.01 15:15:33 +0000","2016.09.01 15:15:33 +0000","2016.09.01 15:19:10 +0000","2016.09.01 15:19:10 +0000","","2016.09.01 15:19:10 +0000","1970.01.01 00:00:00 +0000","https://api.crowdee.de/v1/files/1cfbfd6cdab1886b6af62c3388926700","4","0","1,5,0","","1,2","","3,5","EDM-Produzent","18"
"99FC34A221402B0","Sympathie_2016-07-20T09:32:23.991Z","121E9B4753","AUTOMATICALLY_ACCEPTED","189","2016.09.01 17:22:47 +0000","2016.09.01 17:22:48 +0000","2016.09.01 17:25:57 +0000","2016.09.01 17:25:58 +0000","","2016.09.01 17:25:57 +0000","1970.01.01 00:00:00 +0000","https://api.crowdee.de/v1/files/295afb1d8b8b4bea5e9bb6dbe2f7085b","4","0","2","","4","","6","","20"
"B5C82EA4BC3AEA6","Sympathie_2016-07-20T09:32:23.991Z","DCBB422E74","AUTOMATICALLY_ACCEPTED","87","2016.09.01 20:37:34 +0000","2016.09.01 20:37:36 +0000","2016.09.01 20:39:03 +0000","2016.09.01 20:39:04 +0000","","2016.09.01 20:39:03 +0000","1970.01.01 00:00:00 +0000","https://api.crowdee.de/v1/files/84c7c3cddaeb6ecb8201f14ca49788f5","4","0","9","","4","","6","","22"
"A3AB5273A0DDA5E","Sympathie_2016-07-20T09:32:23.991Z","46D6FF72AB","AUTOMATICALLY_ACCEPTED","84","2016.09.02 00:54:21 +0000","2016.09.02 00:54:21 +0000","2016.09.02 00:55:45 +0000","2016.09.02 00:55:46 +0000","","2016.09.02 00:55:45 +0000","1970.01.01 00:00:00 +0000","https://api.crowdee.de/v1/files/1febcf43028ad2634defb84009e81d1e","4","0","1,8","","4","","0,1","","25"
"78EBF7D2F6097BC","Sympathie_2016-07-20T09:32:23.991Z","A9C504B411","AUTOMATICALLY_ACCEPTED","34","2016.09.02 10:08:00 +0000","2016.09.02 10:08:01 +0000","2016.09.02 10:08:36 +0000","2016.09.02 10:08:36 +0000","","2016.09.02 10:08:36 +0000","1970.01.01 00:00:00 +0000","https://api.crowdee.de/v1/files/7c9a4dedf7e95af538718a21d9e814ab","4","0","9","","4","","6","","19"
"6E2F3A5ED25ED88","Sympathie_2016-07-20T09:32:23.991Z","D331B84C9A","AUTOMATICALLY_ACCEPTED","46","2016.09.02 10:48:08 +0000","2016.09.02 10:48:09 +0000","2016.09.02 10:48:56 +0000","2016.09.02 10:48:56 +0000","","2016.09.02 10:48:56 +0000","1970.01.01 00:00:00 +0000","https://api.crowdee.de/v1/files/cd03d5289987f7964fdf8cf220338ce9","4","0","9","","4","","6","","19"
"3A9DF4FE31F54B2","Sympathie_2016-07-20T09:32:23.991Z","FAB2394369","AUTOMATICALLY_ACCEPTED","98","2016.09.02 14:06:37 +0000","2016.09.02 14:06:38 +0000","2016.09.02 14:08:16 +0000","2016.09.02 14:08:16 +0000","","2016.09.02 14:08:16 +0000","1970.01.01 00:00:00 +0000","https://api.crowdee.de/v1/files/5e94be6cfe56758ceb825f30edd524f7","4","0","9","","3","","6","","26"
"E7E986E7CC2053F","Sympathie_2016-07-20T09:32:23.991Z","2FF973C98D","AUTOMATICALLY_ACCEPTED","109","2016.09.02 18:56:36 +0000","2016.09.02 18:56:36 +0000","2016.09.02 18:58:26 +0000","2016.09.02 18:58:26 +0000","","2016.09.02 18:58:26 +0000","1970.01.01 00:00:00 +0000","https://api.crowdee.de/v1/files/abaeeb1e5c82cb96a189b80a76fee806","4","0","9","","4","","6","","30"
"65BD7025818DA63","Sympathie_2016-07-20T09:32:23.991Z","7AAD10E513","AUTOMATICALLY_ACCEPTED","137","2016.09.02 19:34:07 +0000","2016.09.02 19:34:07 +0000","2016.09.02 19:36:24 +0000","2016.09.02 19:36:25 +0000","","2016.09.02 19:36:24 +0000","1970.01.01 00:00:00 +0000","https://api.crowdee.de/v1/files/f7610046d8a62360941e9dad032e2abe","4","0","8,5,0","","2","","","Spielen  alleine  als Hobby ","20"
"92947BC6F278FA5","Sympathie_2016-07-20T09:32:23.991Z","6D5EC0B70E","AUTOMATICALLY_ACCEPTED","89","2016.09.02 20:49:57 +0000","2016.09.02 20:49:58 +0000","2016.09.02 20:51:28 +0000","2016.09.02 20:51:28 +0000","","2016.09.02 20:51:28 +0000","1970.01.01 00:00:00 +0000","https://api.crowdee.de/v1/files/95b4b742eea8727d0ad7bff3168b4ace","4","0","2,1","","1","","6","","24"
"E89E9018A4FEA7E","Sympathie_2016-07-20T09:32:23.991Z","423A3547B2","AUTOMATICALLY_ACCEPTED","187","2016.09.03 04:53:28 +0000","2016.09.03 04:53:52 +0000","2016.09.03 04:56:59 +0000","2016.09.03 04:56:59 +0000","","2016.09.03 04:56:59 +0000","1970.01.01 00:00:00 +0000","https://api.crowdee.de/v1/files/211386fabfe4527b5ad173e8525bac91","4","1","1","","4","","6","","24"
