"IDListener","ageListener","genderListener","filename","fileDurationMs","orderPlayed","IDSpeaker","ageSpeaker","genderSpeaker","stimulusContent","stimulusDistortion","reactionTimeLikabilityMs","durationRatingLikabilityMs","Rating_Likability"
3,33,"f","001_28_f_T_W.wav",4334,32,1,28,"f","Telefontarif","Wideband",5582,127,17
3,33,"f","014_34_f_T_W.wav",4750,33,14,34,"f","Telefontarif","Wideband",5225,135,5
3,33,"f","017_29_f_T_N.wav",4357,34,17,29,"f","Telefontarif","Narrowband",5998,119,55
3,33,"f","009_30_f_T_N.wav",4974,35,9,30,"f","Telefontarif","Narrowband",5878,95,68
3,33,"f","011_21_f_T_N.wav",4374,36,11,21,"f","Telefontarif","Narrowband",5486,111,83
3,33,"f","029_29_f_T_N.wav",4246,37,29,29,"f","Telefontarif","Narrowband",4998,105,80
3,33,"f","027_29_f_T_W.wav",4392,38,27,29,"f","Telefontarif","Wideband",5375,99,72
3,33,"f","013_34_f_T_W.wav",4299,39,13,34,"f","Telefontarif","Wideband",5370,122,40
3,33,"f","026_20_f_T_W.wav",4992,40,26,20,"f","Telefontarif","Wideband",5926,118,27
3,33,"f","015_22_f_T_W.wav",4760,41,15,22,"f","Telefontarif","Wideband",5963,134,64
3,33,"f","029_29_f_T_W.wav",4251,42,29,29,"f","Telefontarif","Wideband",5085,106,33
3,33,"f","001_28_f_T_N.wav",4323,43,1,28,"f","Telefontarif","Narrowband",5405,1031,6
3,33,"f","002_28_f_T_N.wav",4193,44,2,28,"f","Telefontarif","Narrowband",7222,-2036,57
3,33,"f","012_27_f_T_W.wav",4612,45,12,27,"f","Telefontarif","Wideband",5223,727,20
3,33,"f","013_34_f_T_N.wav",4314,46,13,34,"f","Telefontarif","Narrowband",5029,96,41
3,33,"f","009_30_f_T_W.wav",4979,47,9,30,"f","Telefontarif","Wideband",5664,91,77
3,33,"f","014_34_f_T_N.wav",4760,48,14,34,"f","Telefontarif","Narrowband",5740,102,27
3,33,"f","010_30_f_T_W.wav",4465,49,10,30,"f","Telefontarif","Wideband",5767,151,49
3,33,"f","008_28_f_T_W.wav",4823,50,8,28,"f","Telefontarif","Wideband",6046,111,27
3,33,"f","010_30_f_T_N.wav",4458,51,10,30,"f","Telefontarif","Narrowband",5485,0,50
3,33,"f","026_20_f_T_N.wav",5005,52,26,20,"f","Telefontarif","Narrowband",6997,119,34
3,33,"f","008_28_f_T_N.wav",4821,53,8,28,"f","Telefontarif","Narrowband",7680,152,48
3,33,"f","002_28_f_T_W.wav",4205,54,2,28,"f","Telefontarif","Wideband",4734,111,63
3,33,"f","017_29_f_T_W.wav",4347,55,17,29,"f","Telefontarif","Wideband",5294,111,71
3,33,"f","012_27_f_T_N.wav",4618,56,12,27,"f","Telefontarif","Narrowband",5658,91,59
3,33,"f","011_21_f_T_W.wav",4385,57,11,21,"f","Telefontarif","Wideband",5760,112,91
3,33,"f","015_22_f_T_N.wav",4731,58,15,22,"f","Telefontarif","Narrowband",5679,111,30
4,29,"m","016_21_m_T_N.wav",4880,1,16,21,"m","Telefontarif","Narrowband",5311,1642,42
4,29,"m","020_31_m_T_W.wav",4062,2,20,31,"m","Telefontarif","Wideband",4969,1016,47
4,29,"m","006_22_m_T_N.wav",4374,3,6,22,"m","Telefontarif","Narrowband",4683,142,59
4,29,"m","005_26_m_T_W.wav",4266,4,5,26,"m","Telefontarif","Wideband",4971,132,68
4,29,"m","021_30_m_T_N.wav",4324,5,21,30,"m","Telefontarif","Narrowband",4734,122,59
4,29,"m","007_24_m_T_W.wav",3886,6,7,24,"m","Telefontarif","Wideband",6327,520,55
4,29,"m","025_25_m_T_W.wav",4255,7,25,25,"m","Telefontarif","Wideband",4625,142,80
4,29,"m","030_28_m_T_W.wav",4331,8,30,28,"m","Telefontarif","Wideband",5249,151,69
4,29,"m","020_31_m_T_N.wav",4069,9,20,31,"m","Telefontarif","Narrowband",4638,103,41
4,29,"m","006_22_m_T_W.wav",4381,10,6,22,"m","Telefontarif","Wideband",5544,120,77
4,29,"m","030_28_m_T_N.wav",4333,11,30,28,"m","Telefontarif","Narrowband",4917,132,63
4,29,"m","016_21_m_T_W.wav",4826,12,16,21,"m","Telefontarif","Wideband",5552,122,63
4,29,"m","007_24_m_T_N.wav",3897,13,7,24,"m","Telefontarif","Narrowband",6889,191,67
4,29,"m","024_21_m_T_N.wav",4640,14,24,21,"m","Telefontarif","Narrowband",7841,-2871,59
4,29,"m","022_24_m_T_W.wav",3988,15,22,24,"m","Telefontarif","Wideband",4496,1399,70
4,29,"m","018_25_m_T_W.wav",4536,16,18,25,"m","Telefontarif","Wideband",4500,590,82
4,29,"m","025_25_m_T_N.wav",4263,17,25,25,"m","Telefontarif","Narrowband",6252,137,73
4,29,"m","005_26_m_T_N.wav",4284,18,5,26,"m","Telefontarif","Narrowband",6569,96,69
4,29,"m","028_28_m_T_W.wav",3919,19,28,28,"m","Telefontarif","Wideband",4705,82,82
4,29,"m","024_21_m_T_W.wav",4659,20,24,21,"m","Telefontarif","Wideband",5304,111,89
4,29,"m","022_24_m_T_N.wav",3967,21,22,24,"m","Telefontarif","Narrowband",4876,150,89
4,29,"m","019_30_m_T_N.wav",4364,22,19,30,"m","Telefontarif","Narrowband",4273,582,87
4,29,"m","023_30_m_T_W.wav",4922,23,23,30,"m","Telefontarif","Wideband",5320,119,85
4,29,"m","018_25_m_T_N.wav",4522,24,18,25,"m","Telefontarif","Narrowband",4931,540,88
4,29,"m","021_30_m_T_W.wav",4303,25,21,30,"m","Telefontarif","Wideband",4521,121,75
4,29,"m","019_30_m_T_W.wav",4343,26,19,30,"m","Telefontarif","Wideband",4809,135,90
4,29,"m","023_30_m_T_N.wav",4912,27,23,30,"m","Telefontarif","Narrowband",5443,113,89
